Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	59	0	0.817928437	5.30870769	5.53032914	5.30368697	6.12805567	0.824368706	0	0	0	0	0	0	3
56	60	0	0.832799863	5.30986647	5.50626475	5.30368697	6.01725155	0.71356458	0	0	0	0	0	0	3
57	61	0	0.847671289	5.30998431	5.48546277	5.30368697	5.94193125	0.638244283	0	0	0	0	0	0	3
58	62	0	0.862542715	5.31820949	5.46711801	5.30368697	5.87269252	0.569005557	0	0	0	0	0	0	3
59	63	0	0.877414141	5.31249001	5.45064147	5.30368697	5.82524747	0.521560507	0	0	0	0	0	0	3
60	64	0	0.892285567	5.32608772	5.4359603	5.30368697	5.77113211	0.467445147	0	0	0	0	0	0	3
61	65	0	0.907156993	5.33089289	5.42301209	5.30368697	5.73404114	0.430354177	0	0	0	0	0	0	3
62	66	0	0.922028419	5.3409855	5.41145163	5.30368697	5.67849307	0.374806105	0	0	0	0	0	0	3
63	67	0	0.936899845	5.34039749	5.40150764	5.30368697	5.65499096	0.351303998	0	0	0	0	0	0	3
64	68	0	0.951771272	5.34693175	5.39244707	5.30368697	5.63880821	0.335121242	0	0	0	0	0	0	3
65	69	0	0.966642698	5.35614882	5.38470846	5.30368697	5.63880821	0.335121242	0	0	0	0	0	0	3
66	70	0	0.981514124	5.36510268	5.37665829	5.30368697	5.61055412	0.30686715	0	0	0	0	0	0	3
67	71	0	0.99638555	5.37500118	5.37023833	5.30368697	5.61055412	0.30686715	0	0	0	0	0	0	3
68	72	0	1.01125698	5.38362263	5.36356387	5.30368697	5.54595857	0.2422716	1.14214543	0	100	0	0	0	3
